"","x"
"1",0.672796185559154
"2",0.636307196845362
"3",0.693104572548882
"4",0.781993932118344
"5",0.715681974613324
"6",0.60910318250028
"7",0.596419822901026
"8",0.59173287413704
"9",0.674333510705104
"10",0.593945259825504
"11",0.59976912774958
"12",0.685493121116792
"13",0.675918050430446
"14",0.674156774665189
"15",0.740270742242809
"16",0.731608431994159
"17",0.795640789760573
"18",0.986750583503775
"19",1.00433845502103
"20",1.2200767133129
"21",1.23841446791826
"22",0.994200133240397
"23",0.981014773702586
"24",0.831547857647363
"25",0.866044155676644
"26",1.03313120751278
"27",1.07823999451818
"28",1.0945615111444
"29",1.24740131243468
"30",1.0719695809463
"31",0.791497642256234
"32",0.771605243875978
"33",0.726460361087863
"34",0.834358980754612
"35",0.789616092615514
"36",0.88702685672512
"37",0.704209270134216
"38",0.793430558563155
"39",0.857908088599241
"40",0.863736871852521
"41",1.0707832133876
"42",1.08441935609168
"43",1.14268034339326
"44",1.09104776322927
"45",1.04209441173835
"46",1.04209441173835
"47",0.864295423423086
"48",0.899876477001562
"49",1.0508991407648
"50",0.909316951766802
"51",1.17634819731607
"52",1.17117217307502
"53",1.24698132153933
"54",1.42555824034263
"55",1.56651455454996
"56",1.40552978963544
"57",1.10092971445857
"58",1.10008092220957
"59",1.07382864671268
"60",0.982001416202749
"61",0.711337318213613
"62",0.715536779155444
"63",0.647916558666605
"64",0.584233232633793
"65",0.638232469296939
"66",0.634078597463189
"67",0.75350015117342
"68",0.676708506183266
"69",0.471828825542261
"70",0.522030157275572
"71",0.531984014922506
"72",0.562288265405148
"73",0.483104455443491
"74",0.486004274345307
"75",0.457065554673151
"76",0.441288114812795
"77",0.489761178571519
"78",0.51425762744035
"79",0.423655636361432
"80",0.471423989696991
"81",0.682490718134081
"82",0.803646910710987
"83",0.75150192901288
"84",1.09860911316631
"85",0.949156726702639
"86",1.15257281757292
"87",0.834547691982093
"88",1.07343215938225
"89",0.971227071797858
"90",1.1812572663366
"91",1.06238538724071
"92",0.895209577748718
"93",0.858016878978807
"94",0.807039753287581
"95",0.819789235700034
"96",0.724387832248131
"97",0.871130764213316
"98",0.608369487725787
"99",0.484208928859647
"100",0.462757340255636
"101",0.413568589125877
"102",0.351147582230641
"103",0.442384409623548
"104",0.546135567068575
"105",0.514950836688108
"106",0.574022944703146
"107",0.537281187128334
"108",0.465556103140671
"109",0.598111590107827
"110",0.486769311242125
"111",0.458954038323908
"112",0.404654317480529
"113",0.585536475010035
"114",0.52967986014314
"115",0.553916788520135
"116",0.652178281923718
"117",0.637367451014752
"118",0.497720071995061
"119",0.528603596384413
